"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[1556]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","OUTCROP AT CAPE CASUARINA, BUNBURY, SOUTHERN END OF EXPOSURE","-33.32","-33.32","115.63","115.63","SUBAERIAL","","","s 86683 [1556]","BASALT [1556]","123000000 [1556]","130000000 [1556]","LOWER [1556]","CRETACEOUS [1556]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1556] ","50.64","1.68","","15.88","","","","10.81","10.25","5.93","0.17","","0.17","3.09","0.15","","","","","","","","","","","","","","","","1.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.4","","204","283","","","39.9","71","","110","21.1","","","","","2.3","226","30","110","5.8","","","","","","","","","","","","","46","6.55","18","","12","3.99","1.56","","0.85","","","","","2.6","0.41","2.75","0.22","","","","","","","","","","","0.4","","","","","0.70486","","17.982","","15.6","","38.026","","","","","","","","","","","","","","","102268",
"[1556]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","OUTCROP AT CAPE CASUARINA, BUNBURY, BASE OF THICKEST EXPOSURE","-33.32","-33.32","115.63","115.63","SUBAERIAL","","","s 86684 [1556]","BASALT [1556]","123000000 [1556]","130000000 [1556]","LOWER [1556]","CRETACEOUS [1556]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1556] ","51.39","1.69","","15.75","","","","10.48","10.24","5.68","0.16","","0.23","2.93","0.15","","","","","","","","","","","","","","","","1.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.4","","207","276","","","39.1","72","","113","21.4","","","","","3.9","228","29.4","110","5.8","","","","","","","","","","","","","48","6.13","18.9","","11.8","3.95","1.49","","0.87","","","","","2.77","0.38","2.58","0.28","","","","","","","","","","","0.5","","","","","0.70428","","17.905","","15.576","","37.939","","","","","","","","","","","","","","","102269",
"[1556]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","BUNBURY INNER HARBOUR DRILL CORE","-33.32","-33.32","115.63","115.63","SUBAERIAL","","","s 86688 [1556]","BASALT [1556]","123000000 [1556]","130000000 [1556]","LOWER [1556]","CRETACEOUS [1556]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1556] ","51.28","1.69","","16.22","","","","12.93","8.94","5.47","0.16","","0.56","2.3","0.15","","","","","","","","","","","","","","","","11.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","192","272","","","34.2","78","","108","22.7","","","","","37.5","208","27.7","108","5.1","","","","","","","","","","","","","72","5.52","14.6","","9.5","3.18","1.28","","0.74","","","","","2.53","0.41","2.62","0.3","","","","","","","","","","","0.66","","","","","","","","","","","","","","","","","","","","","","","","","","102270",
"[1556]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","BUNBURY INNER HARBOUR DRILL CORE","-33.32","-33.32","115.63","115.63","SUBAERIAL","","","s 86689 [1556]","BASALT [1556]","123000000 [1556]","130000000 [1556]","LOWER [1556]","CRETACEOUS [1556]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1556] ","49.53","1.8","","17.76","","","","14.15","5.92","6.08","0.09","","0.32","3.39","0.15","","","","","","","","","","","","","","","","19.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.7","","257","273","","","30.1","74","","95","21.8","","","","","5.8","200","28","112","5.2","","","","","","","","","","","","","275","6.38","17.7","","11.2","3.74","1.42","","0.74","","","","","2.21","0.3","2.84","0.38","","","","","","","","","","","0.55","","","","","","","","","","","","","","","","","","","","","","","","","","102271",
"[1556]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","BUNBURY INNER HARBOUR DRILL CORE","-33.32","-33.32","115.63","115.63","SUBAERIAL","","","s 86693 [1556]","BASALT [1556]","123000000 [1556]","130000000 [1556]","LOWER [1556]","CRETACEOUS [1556]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1556] ","52.27","2.07","","14.09","","","","11.7","9.48","5.53","0.17","","0.39","2.74","0.2","","","","","","","","","","","","","","","","0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5","","242","172","","","38.6","45","","118","22.4","","","","","7.2","231","33.8","139","7.2","","","","","","","","","","","","","96","9.36","25.8","","15","4.88","1.86","","1.07","","","","","3.06","0.47","3.45","0.45","","","","","","","","","","","1.11","","","","","0.70493","","17.95","","15.589","","38.151","","","","","","","","","","","","","","","102272",
"[1556]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","GELORUP QUARRY, THICKEST EXPOSURE 14 M ABOVE QUARRY FLOOR ON EASTERN WALL","-33.32","-33.32","115.63","115.63","SUBAERIAL","","","s 869896 [1556]","BASALT [1556]","123000000 [1556]","130000000 [1556]","LOWER [1556]","CRETACEOUS [1556]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1556] ","51.38","1.88","","14.81","","","","11.38","9.82","5.47","0.17","","0.27","2.8","0.17","","","","","","","","","","","","","","","","1.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.6","","218","210","","","38.9","56","","110","22.2","","","","","6.2","230","31.6","123","6.6","","","","","","","","","","","","","59","7.62","19.3","","12.2","4.13","1.58","","0.83","","","","","2.91","0.42","2.8","0.34","","","","","","","","","","","0.74","","","","","0.70477","","17.926","","15.574","","38.016","","","","","","","","","","","","","","","102274",
"[1556]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","OUTCROP AT CAPEL RIVER","-33.32","-33.32","115.63","115.63","SUBAERIAL","","","s 86700 [1556]","BASALT [1556]","123000000 [1556]","130000000 [1556]","LOWER [1556]","CRETACEOUS [1556]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1556] ","52.11","1.97","","14.53","","","","10.96","9.61","5.32","0.18","","0.42","2.71","0.18","","","","","","","","","","","","","","","","1.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","244","177","","","53.3","75","","119","21.5","","","","","11.2","238","36.2","139","7.4","","","","","","","","","","","","","257","9.76","25.2","","16.1","5.17","1.79","","1.05","","","","","3.18","0.45","3.39","0.44","","","","","","","","","","","0.97","","","","","0.70532","","17.931","","15.605","","38.21","","","","","","","","","","","","","","","102276",
"[1556]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","OUTCROP AT DONNELLY RIVER, NORTHERN BANK 126 KM EAST OF RIVER MOUTH","-33.32","-33.32","115.63","115.63","SUBAERIAL","","","s 86713 [1556]","BASALT [1556]","123000000 [1556]","130000000 [1556]","LOWER [1556]","CRETACEOUS [1556]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1556] ","50.06","2.12","","17.36","","","","9.56","10.07","5.98","0.24","","0.49","2.82","0.14","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.6","","206","279","","","53","91","","105","21.3","","","","","4.2","233","45","108","5.5","","","","","","","","","","","","","41","6.86","19.3","","12.8","4.15","1.56","","0.94","","","","","3","0.45","2.46","0.31","","","","","","","","","","","0.4","","","","","0.70411","","17.999","","15.602","","37.985","","","","","","","","","","","","","","","102278",
"[1556]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","ROAD CUTTING ON NANNUP-PEMBERTON ROAD","-34.42","-34.42","115.4","115.4","SUBAERIAL","","","s 86714 [1556]","BASALT [1556]","123000000 [1556]","130000000 [1556]","LOWER [1556]","CRETACEOUS [1556]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1556] ","51.7","1.32","","14.61","","","","10.32","10.42","6.24","0.17","","0.39","2.55","0.1","","","","","","","","","","","","","","","","1.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.5","","271","211","","","42.6","57","","97","19.6","","","","","10.7","163","29.6","101","3.2","","","","","","","","","","","","","105","8.5","20.7","","11.7","3.45","1.22","","0.66","","","","","2.74","0.43","2.76","0.12","","","","","","","","","","","1.82","","","","","0.70816","","18.001","","15.63","","38.272","","","","","","","","","","","","","","","102279",
"[1556]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT","OUTCROP AT BLACK POINT","-34.42","-34.42","115.4","115.4","SUBAERIAL","0","0","s 86722 [1556]","BASALT [1556]","123000000 [1556]","130000000 [1556]","LOWER [1556]","CRETACEOUS [1556]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1556] ","52.63","1.32","","14.46","","","","10.75","10.26","6.4","0.17","","0.43","2.66","0.11","","","","","","","","","","","","","","","","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.9","","270","110","","","42.2","53","","98","19.2","","","","","11","161","28.6","106","3.4","","","","","","","","","","","","","137","8.87","23.9","","12.9","3.68","1.31","","0.78","","","","","3","0.42","2.86","0.21","","","","","","","","","","","2.1","","","","","0.70822","","17.996","","15.608","","38.044","","","","","","","","","","","","","","","102281",
