"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19846]","CONTINENTAL FLOOD BASALT","TARIM LARGE IGNEOUS PROVINCE / XINJIANG PROVINCE / KAIPIPAIZILEIKE FORMATION","KEPING COUNTY, NW TARIM BLOCK","40.63","40.7","79.5","79.55","SUBAERIAL","","","s YG-1 [19846]","BASALT [19846]","","","","PERMIAN [19846]","","","","FINE-GRAINED [19846] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19846] ","46.27","4.14","","13.16","","","","15.1","7.86","4.21","0.21","","1.46","3.28","1.3","","","","","","","","","","","","","","","","0.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.5","","217","62.8","","","46.6","54.6","50.6","174","22.5","","","","","19","341","43.2","356","31.8","","","","","","","","","","","","0.17","774","43.5","98.3","12.4","52.7","11.1","3.29","10.7","1.54","8.66","1.72","4.56","0.62","3.86","0.57","7.63","1.76","","","","","","","","","6.97","","4.25","0.98","0.512072","","","0.707971","","17.8396","","15.5301","","38.5155","","","","","","","","","","","","","","","1072885",
"[19846]","CONTINENTAL FLOOD BASALT","TARIM LARGE IGNEOUS PROVINCE / XINJIANG PROVINCE / KAIPIPAIZILEIKE FORMATION","KEPING COUNTY, NW TARIM BLOCK","40.63","40.7","79.5","79.55","SUBAERIAL","","","s YG-2 [19846]","BASALT [19846]","","","","PERMIAN [19846]","","","","FINE-GRAINED [19846] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19846] ","46.57","4.21","","13.19","","","","15.4","7.79","4.57","0.21","","1.47","3.1","1.28","","","","","","","","","","","","","","","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.1","","217","55.7","","","47","55.8","50.2","172","22.2","","","","","13.9","359","42.8","349","31.3","","","","","","","","","","","","0.21","772","43.1","97.2","12.3","52.2","11","3.28","10.6","1.53","8.58","1.71","4.5","0.62","3.8","0.57","7.53","1.76","","","","","","","","","6.9","","4.16","0.97","0.512069","","","0.707811","","17.8414","","15.5302","","38.5129","","","","","","","","","","","","","","","1072886",
"[19846]","CONTINENTAL FLOOD BASALT","TARIM LARGE IGNEOUS PROVINCE / XINJIANG PROVINCE / KAIPIPAIZILEIKE FORMATION","KEPING COUNTY, NW TARIM BLOCK","40.63","40.7","79.5","79.55","SUBAERIAL","","","s YG-3 [19846]","BASALT [19846]","","","","PERMIAN [19846]","","","","FINE-GRAINED [19846] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19846] ","44.93","4.14","","13.52","","","","15.15","7.47","5.27","0.2","","1.48","3.08","1.15","","","","","","","","","","","","","","","","1.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.5","","226","69.7","","","48.6","64.1","48.8","168","22","","","","","23.7","307","41","325","30.4","","","","","","","","","","","","0.13","668","39.2","89","11.3","48.4","10.3","3.12","10","1.46","8.24","1.64","4.33","0.59","3.69","0.55","6.99","1.73","","","","","","","","","5.72","","3.47","0.86","0.512127","","","0.707408","","17.9407","","15.5375","","38.5326","","","","","","","","","","","","","","","1072887",
"[19846]","CONTINENTAL FLOOD BASALT","TARIM LARGE IGNEOUS PROVINCE / XINJIANG PROVINCE / KAIPIPAIZILEIKE FORMATION","KEPING COUNTY, NW TARIM BLOCK","40.63","40.7","79.5","79.55","SUBAERIAL","","","s YG-5 [19846]","BASALT [19846]","","","","PERMIAN [19846]","","","","FINE-GRAINED [19846] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19846] ","46.68","4.02","","13.59","","","","14.81","7.79","4.81","0.19","","1.58","3.32","1.1","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.1","","234","71","","","51.4","60","50.1","174","23.5","","","","","30.4","361","42.7","371","30.7","","","","","","","","","","","","0.34","734","40.8","92.2","11.7","50","10.6","3.24","10.4","1.5","8.48","1.68","4.48","0.62","3.83","0.57","7.61","1.71","","","","","","","","","6.56","","3.9","0.94","0.512082","","","0.708133","","17.8782","","15.5345","","38.5265","","","","","","","","","","","","","","","1072888",
"[19846]","CONTINENTAL FLOOD BASALT","TARIM LARGE IGNEOUS PROVINCE / XINJIANG PROVINCE / KAIPIPAIZILEIKE FORMATION","KEPING COUNTY, NW TARIM BLOCK","40.63","40.7","79.5","79.55","SUBAERIAL","","","s YG-6 [19846]","BASALT [19846]","","","","PERMIAN [19846]","","","","FINE-GRAINED [19846] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19846] ","46.16","4.16","","13.1","","","","15.62","7.8","4.85","0.22","","1.48","2.74","1.3","","","","","","","","","","","","","","","","0.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.7","","230","55.9","","","47.8","56.4","51","182","22.8","","","","","21.1","360","43.7","354","31.7","","","","","","","","","","","","0.23","782","43.5","98.3","12.4","52.7","11.1","3.3","10.7","1.54","8.7","1.72","4.57","0.63","3.9","0.58","7.7","1.74","","","","","","","","","7.06","","4.24","0.99","0.512071","","","0.708035","","17.8413","","15.5307","","38.5178","","","","","","","","","","","","","","","1072889",
"[19846]","CONTINENTAL FLOOD BASALT","TARIM LARGE IGNEOUS PROVINCE / XINJIANG PROVINCE / KAIPIPAIZILEIKE FORMATION","KEPING COUNTY, NW TARIM BLOCK","40.63","40.7","79.5","79.55","SUBAERIAL","","","s YG-7  [19846]","BASALT [19846]","","","","PERMIAN [19846]","","","","FINE-GRAINED [19846] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19846] ","45.41","3.93","","14.52","","","","14.48","8.13","4.98","0.18","","1.3","2.63","0.96","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.1","","242","72.3","","","53.2","77.8","45.6","164","22.4","","","","","21.8","353","37.2","284","26.5","","","","","","","","","","","","0.42","612","33.8","76.3","9.78","41.7","8.96","2.85","8.82","1.3","7.41","1.48","3.95","0.55","3.39","0.5","6.21","1.5","","","","","","","","","5.37","","2.96","0.7","0.512147","","","0.706966","","17.9095","","15.5362","","38.4855","","","","","","","","","","","","","","","1072890",
"[19846]","CONTINENTAL FLOOD BASALT","TARIM LARGE IGNEOUS PROVINCE / XINJIANG PROVINCE / KAIPIPAIZILEIKE FORMATION","KEPING COUNTY, NW TARIM BLOCK","40.63","40.7","79.5","79.55","SUBAERIAL","","","s YG-10 [19846]","BASALT [19846]","","","","PERMIAN [19846]","","","","FINE-GRAINED [19846] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19846] ","47.87","3.83","","13.6","","","","14.06","8.53","4.67","0.19","","1.55","2.51","0.82","","","","","","","","","","","","","","","","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6","","239","54.2","","","46.4","45.5","42.7","160","22.2","","","","","29","331","37.5","283","23.9","","","","","","","","","","","","0.27","650","34.3","76.2","9.66","40.7","8.74","2.68","8.62","1.29","7.4","1.49","4.01","0.56","3.52","0.52","6.34","1.28","","","","","","","","","6.48","","3.68","0.89","0.512078","","","0.708168","","17.9229","","15.5414","","38.52","","","","","","","","","","","","","","","1072891",
"[19846]","CONTINENTAL FLOOD BASALT","TARIM LARGE IGNEOUS PROVINCE / XINJIANG PROVINCE / KAIPIPAIZILEIKE FORMATION","KEPING COUNTY, NW TARIM BLOCK","40.63","40.7","79.5","79.55","SUBAERIAL","","","s YG-11 [19846]","BASALT [19846]","","","","PERMIAN [19846]","","","","FINE-GRAINED [19846] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19846] ","47.18","3.81","","13.56","","","","13.8","8.39","5.12","0.18","","1.47","2.46","0.82","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6","","247","58.6","","","46.5","48.7","43.3","165","21.9","","","","","28.2","315","37.3","278","24.7","","","","","","","","","","","","0.36","613","33.4","74.4","9.48","39.9","8.63","2.67","8.56","1.27","7.35","1.48","3.98","0.56","3.5","0.52","6.26","1.4","","","","","","","","","6.21","","3.52","0.87","0.512091","","","0.708167","","17.9357","","15.5421","","38.5198","","","","","","","","","","","","","","","1072892",
"[19846]","CONTINENTAL FLOOD BASALT","TARIM LARGE IGNEOUS PROVINCE / XINJIANG PROVINCE / KAIPIPAIZILEIKE FORMATION","KEPING COUNTY, NW TARIM BLOCK","40.63","40.7","79.5","79.55","SUBAERIAL","","","s YG-12 [19846]","BASALT [19846]","","","","PERMIAN [19846]","","","","FINE-GRAINED [19846] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19846] ","46.74","3.73","","13.63","","","","14.01","8.4","5.39","0.19","","1.4","2.48","0.77","","","","","","","","","","","","","","","","1.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6","","241","60.6","","","47.1","54.1","42.4","155","21.7","","","","","26.8","307","35.6","269","23.7","","","","","","","","","","","","0.36","583","31.7","70.6","8.99","37.9","8.23","2.58","8.17","1.23","7.05","1.42","3.82","0.54","3.39","0.5","6.1","1.31","","","","","","","","","5.69","","3.36","0.84","0.512096","","","0.708072","","17.9626","","15.5466","","38.5495","","","","","","","","","","","","","","","1072893",
"[19846]","CONTINENTAL FLOOD BASALT","TARIM LARGE IGNEOUS PROVINCE / XINJIANG PROVINCE / KAIPIPAIZILEIKE FORMATION","KEPING COUNTY, NW TARIM BLOCK","40.63","40.7","79.5","79.55","SUBAERIAL","","","s YG-13 [19846]","BASALT [19846]","","","","PERMIAN [19846]","","","","FINE-GRAINED [19846] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19846] ","46.8","3.71","","13.7","","","","13.75","8.4","5.59","0.18","","1.39","2.4","0.78","","","","","","","","","","","","","","","","1.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.6","","251","71.5","","","45.7","54.1","46.4","151","21.9","","","","","26","319","35.6","261","20.9","","","","","","","","","","","","0.29","575","31","69.4","8.9","37.8","8.22","2.61","8.22","1.23","7.07","1.43","3.81","0.53","3.34","0.5","5.91","0.98","","","","","","","","","5.53","","3.26","0.81","0.512095","","","0.708437","","17.9426","","15.5423","","38.5271","","","","","","","","","","","","","","","1072894",
