"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18566]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SIBERIAN CRATON_ARCHEAN / SHARYZHALGAI (PRISAYAN) BLOCK / ONOT GREENSTONE BELT","","52","53","101","103","SUBAERIAL","","","s 91-385 [18566]","GABBRO [18566]","","","","ARCHEAN [18566]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18566] ","48.44","1.68","","14.84","","","","14.35","10.16","5.27","0.2","","0.39","2.47","0.12","","","","","","","","","","","","","","","","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","410","59","","","51","79","290","","","","","","","","","","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050103",
"[18566]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SIBERIAN CRATON_ARCHEAN / SHARYZHALGAI (PRISAYAN) BLOCK / ONOT GREENSTONE BELT","","52","53","101","103","SUBAERIAL","","","s 91-386 [18566]","GABBRO [18566]","","","","ARCHEAN [18566]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18566] ","49.44","1.35","","14.93","","","","13.15","10.45","5.17","0.2","","0.46","2.49","0.13","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","58","","","47","80","390","","","","","","","","","","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050104",
"[18566]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SIBERIAN CRATON_ARCHEAN / SHARYZHALGAI (PRISAYAN) BLOCK / ONOT GREENSTONE BELT","","52","53","101","103","SUBAERIAL","","","s 91-387 [18566]","GABBRO [18566]","","","","ARCHEAN [18566]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18566] ","48.99","1.89","","15.92","","","","14.18","9.1","3.3","0.2","","0.64","2.73","0.17","","","","","","","","","","","","","","","","1.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","420","36","","","35","50","240","","","","","","","","","","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050105",
"[18566]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SIBERIAN CRATON_ARCHEAN / SHARYZHALGAI (PRISAYAN) BLOCK / ONOT GREENSTONE BELT","","52","53","101","103","SUBAERIAL","","","s 91-388 [18566]","GABBRO [18566]","","","","ARCHEAN [18566]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18566] ","51.97","1.04","","16.53","","","","11.56","8.9","2.97","0.18","","0.63","3.13","0.22","","","","","","","","","","","","","","","","1.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","34","","","36","37","210","","","","","","","","","","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050106",
"[18566]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SIBERIAN CRATON_ARCHEAN / SHARYZHALGAI (PRISAYAN) BLOCK / ONOT GREENSTONE BELT","","52","53","101","103","SUBAERIAL","","","s 96-16 [18566]","GABBRO [18566]","","","","ARCHEAN [18566]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18566] ","50.55","1.6","","13.48","","1.95","11.85","","10.4","6.9","0.23","","0.34","2.19","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","380","160","","","44","110","280","97","","","","","","","220","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050107",
"[18566]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SIBERIAN CRATON_ARCHEAN / SHARYZHALGAI (PRISAYAN) BLOCK / ONOT GREENSTONE BELT","","52","53","101","103","SUBAERIAL","","","s 96-18 [18566]","GABBRO [18566]","","","","ARCHEAN [18566]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18566] ","50.99","1.3","","12.79","","2.45","10.95","","11","7.4","0.24","","0.32","2.12","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","350","180","","","44","120","200","96","","","","","","","220","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050108",
"[18566]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SIBERIAN CRATON_ARCHEAN / SHARYZHALGAI (PRISAYAN) BLOCK / ONOT GREENSTONE BELT","","52","53","101","103","SUBAERIAL","","","s 96-17 [18566]","GABBRO [18566]","","","","ARCHEAN [18566]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18566] ","50.97","1.65","","12.97","","2.66","10.68","","10.9","6.1","0.23","","0.46","2.37","0.1","","","","","","","","","","","","","","","","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","340","151","","","42","112","256","108","","","","","","","230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050109",
"[18566]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SIBERIAN CRATON_ARCHEAN / SHARYZHALGAI (PRISAYAN) BLOCK / ONOT GREENSTONE BELT","","52","53","101","103","SUBAERIAL","","","s 96-20 [18566]","GABBRO [18566]","","","","ARCHEAN [18566]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18566] ","49.4","2.1","","12.42","","5.09","12.03","","9.7","5.2","0.24","","0.53","2.23","0.2","","","","","","","","","","","","","","","","0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","370","117","","","45","88","281","129","","","","","","","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050110",
"[18566]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SIBERIAN CRATON_ARCHEAN / SHARYZHALGAI (PRISAYAN) BLOCK / ONOT GREENSTONE BELT / KAMCHADAL^SKAYA FORMATION","","52","53","101","103","SUBAERIAL","","","s 89-222 [18566]","AMPHIBOLITE [18566]","","","","ARCHEAN [18566]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [18566] ","49.68","0.45","","15.1","","3.02","6.29","","10.6","10.1","0.14","","0.41","2.45","0.07","","","","","","","","","","","","","","","","1.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","900","","","44","189","47","0.68","","","","","","","140","9.8","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050111",
"[18566]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SIBERIAN CRATON_ARCHEAN / SHARYZHALGAI (PRISAYAN) BLOCK / ONOT GREENSTONE BELT / KAMCHADAL^SKAYA FORMATION","","52","53","101","103","SUBAERIAL","","","s 89-224 [18566]","AMPHIBOLITE [18566]","","","","ARCHEAN [18566]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [18566] ","48.7","0.88","","12.9","","3.84","8.98","","9.6","8.7","0.18","","0.58","2.42","0.06","","","","","","","","","","","","","","","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240","500","","","47","180","192","103","","","","","","","170","16","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050112",
