"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[17466]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH CHINA CRATON / QIANXI GROUP","SAHEQIAO AREA","40.3761","40.3761","118.2094","118.2094","SUBAERIAL","","","s 11JD02-2 [17466]","AMPHIBOLITE, PYROXENE-PLAGIOCLASE [17466]","","","","ARCHEAN [17466]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [17466] ","48.7","0.77","","13.16","","","","11.49","10.8","8.86","0.18","","0.85","2.67","0.06","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","","297","291","","","40","142","","","","","","","","6.62","102","18","37","1.86","","","","","","","","","","","","0.17","102","2.98","7.25","1.06","5.56","1.76","0.71","2.5","0.47","3.29","0.71","2.12","0.32","2.21","0.33","1.22","0.35","","","","","","","","","","","0.2","0.11","","","","","","","","","","","","","","","","","","","","","","","","","1046154",
"[17466]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH CHINA CRATON / QIANXI GROUP","SAHEQIAO AREA","40.3278","40.3278","118.1558","118.1558","SUBAERIAL","","","s 11JD06-3 [17466]","GRANULITE, GARNET-2 PYROXENE [17466]","","","","ARCHEAN [17466]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [17466] ","47.6","0.9","","14.51","","","","12.33","11.7","7.92","0.2","","0.53","2.47","0.08","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","294","233","","","55","133","","","","","","","","2.7","104","20","38","2.66","","","","","","","","","","","","0.04","50","2.83","7.82","1.25","6.95","2.22","0.79","3.06","0.57","3.81","0.83","2.43","0.38","2.53","0.38","1.4","0.39","","","","","","","","","","","0.19","0.03","","","","","","","","","","","","","","","","","","","","","","","","","1046155",
"[17466]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH CHINA CRATON / QIANXI GROUP","SAHEQIAO AREA","40.3286","40.3286","118.1567","118.1567","SUBAERIAL","","","s 11JD06-4 [17466]","AMPHIBOLITE, GARNET-PYROXENE-PLAGIOCLASE [17466]","","","","ARCHEAN [17466]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [17466] ","47.1","0.84","","14.37","","","","12.77","11.96","8.72","0.2","","0.27","1.84","0.06","","","","","","","","","","","","","","","","0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","314","246","","","45","178","","","","","","","","1.06","129","18","37","1.9","","","","","","","","","","","","0.05","41","2.42","7.47","1.14","6.21","1.95","0.77","2.66","0.51","3.43","0.75","2.16","0.34","2.32","0.35","1.26","0.21","","","","","","","","","","","0.05","0.03","","","","","","","","","","","","","","","","","","","","","","","","","1046156",
"[17466]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH CHINA CRATON / QIANXI GROUP","SAHEQIAO AREA","40.3264","40.3264","118.2131","118.2131","SUBAERIAL","","","s 11JD11-1 [17466]","AMPHIBOLITE, GARNET-PYROXENE-PLAGIOCLASE [17466]","","","","ARCHEAN [17466]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [17466] ","51.2","1.21","","14.25","","","","11.51","4.55","6.82","0.11","","3.62","2.35","0.3","","","","","","","","","","","","","","","","2.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","352","202","","","51","68","","","","","","","","9.32","433","22","47","2.91","","","","","","","","","","","","0.12","128","3.63","9.8","1.56","8.74","2.72","1.06","3.53","0.65","4.21","0.9","2.58","0.39","2.55","0.39","1.69","0.24","","","","","","","","","","","0.16","0.02","","","","","","","","","","","","","","","","","","","","","","","","","1046157",
"[17466]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH CHINA CRATON / QIANXI GROUP","SAHEQIAO AREA","40.3278","40.3278","118.1558","118.1558","SUBAERIAL","","","s 11JD06-2 [17466]","AMPHIBOLITE, GARNET-PYROXENE-PLAGIOCLASE [17466]","","","","ARCHEAN [17466]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [17466] ","45.2","0.86","","12.92","","","","13.46","13.38","8.64","0.24","","0.9","2.09","0.1","","","","","","","","","","","","","","","","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","322","326","","","60","188","","","","","","","","7.61","198","19","34","2.52","","","","","","","","","","","","0.05","126","8.26","18","2.33","11.1","2.77","1.03","3.41","0.59","3.78","0.8","2.31","0.35","2.33","0.35","1.3","0.28","","","","","","","","","","","1.2","0.52","","","","","","","","","","","","","","","","","","","","","","","","","1046158",
"[17466]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH CHINA CRATON / QIANXI GROUP","SAHEQIAO AREA","40.3283","40.3283","118.1903","118.1903","SUBAERIAL","","","s 11JD07-2 [17466]","AMPHIBOLITE, GARNET-PYROXENE-PLAGIOCLASE [17466]","","","","ARCHEAN [17466]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [17466] ","47.7","1.11","","14.08","","","","12.26","10.5","7.37","0.19","","0.79","2.91","0.1","","","","","","","","","","","","","","","","1.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","300","106","","","50","88","","","","","","","","14","246","19","51","5.66","","","","","","","","","","","","0.51","86","5.86","14.5","2.04","10.3","2.72","0.97","3.28","0.57","3.61","0.75","2.17","0.32","2.15","0.32","1.67","0.43","","","","","","","","","","","0.62","0.13","","","","","","","","","","","","","","","","","","","","","","","","","1046159",
"[17466]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH CHINA CRATON / QIANXI GROUP","SAHEQIAO AREA","40.3283","40.3283","118.1903","118.1903","SUBAERIAL","","","s 11JD07-3 [17466]","AMPHIBOLITE, GARNET-PYROXENE-PLAGIOCLASE [17466]","","","","ARCHEAN [17466]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [17466] ","47.7","1.78","","13.2","","","","14.26","9.78","6.56","0.21","","0.63","2.9","0.14","","","","","","","","","","","","","","","","1.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","362","107","","","46","55","","","","","","","","7.9","305","25","70","8.87","","","","","","","","","","","","0.24","55","8.11","21","2.91","15","3.79","1.34","4.53","0.78","4.99","1.05","3","0.45","3.11","0.47","2.23","1.03","","","","","","","","","","","0.53","0.18","","","","","","","","","","","","","","","","","","","","","","","","","1046160",
"[17466]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH CHINA CRATON / QIANXI GROUP","SAHEQIAO AREA","40.3283","40.3283","118.1903","118.1903","SUBAERIAL","","","s 11JD07-4 [17466]","AMPHIBOLITE, GARNET-PYROXENE-PLAGIOCLASE [17466]","","","","ARCHEAN [17466]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [17466] ","49.7","1.65","","12.71","","","","13.98","10.88","4.72","0.23","","0.4","3.28","0.14","","","","","","","","","","","","","","","","0.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","346","46","","","32","27","","","","","","","","5.28","170","30","89","9.03","","","","","","","","","","","","0.26","88","7.92","21","3.02","16","4.13","1.33","5","0.88","5.66","1.2","3.5","0.53","3.57","0.54","2.71","0.58","","","","","","","","","","","0.19","0.06","","","","","","","","","","","","","","","","","","","","","","","","","1046161",
"[17466]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH CHINA CRATON / QIANXI GROUP","SAHEQIAO AREA","40.3342","40.3342","118.2117","118.2117","SUBAERIAL","","","s 11JD09-1 [17466]","AMPHIBOLITE, PYROXENE-PLAGIOCLASE [17466]","","","","ARCHEAN [17466]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [17466] ","46.9","0.7","","14.35","","","","11.25","11.98","8.66","0.19","","0.67","2.19","0.05","","","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","276","336","","","37","116","","","","","","","","8.53","156","17","32","2.4","","","","","","","","","","","","0.16","115","4.4","9.91","1.25","6.01","1.76","0.71","2.42","0.46","3.12","0.68","2.07","0.32","2.24","0.34","1.13","0.14","","","","","","","","","","","0.87","0.13","","","","","","","","","","","","","","","","","","","","","","","","","1046162",
"[17466]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH CHINA CRATON / QIANXI GROUP","SAHEQIAO AREA","40.3342","40.3342","118.2117","118.2117","SUBAERIAL","","","s 11JD09-2 [17466]","AMPHIBOLITE, GARNET-PLAGIOCLASE [17466]","","","","ARCHEAN [17466]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [17466] ","44.7","0.54","","11.4","","","","21.89","6.47","7.21","0.25","","0.34","2.24","0.08","","","","","","","","","","","","","","","","2.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","184","206","","","26","55","","","","","","","","4.83","117","15","23","2.37","","","","","","","","","","","","0.19","62","5.08","13.5","1.84","8.42","2.05","0.79","2.35","0.42","2.78","0.59","1.76","0.27","1.94","0.31","0.93","0.21","","","","","","","","","","","0.43","0.09","","","","","","","","","","","","","","","","","","","","","","","","","1046163",
